nama,profile_url,departemen,sinta_id,hindex_scopus,hindex_gs,sinta_score_3yr,sinta_score,affil_score_3yr,affil_score
HERY DWI YULIANTO,https://sinta.kemdiktisaintek.go.id/authors/profile/258633,Komputerisasi Akuntansi (D3),258633,2,7,92,405,92,405
TATI HARIHAYATI MARDZUKI,https://sinta.kemdiktisaintek.go.id/authors/profile/258733,Teknik Informatika (S1),258733,2,8,91,532,91,532
EDNAWATI RAINARLI,https://sinta.kemdiktisaintek.go.id/authors/profile/5990417,Unknown,5990417,3,7,91,415,91,415
FEBILITA WULAN SARI,https://sinta.kemdiktisaintek.go.id/authors/profile/5973640,Ilmu Hukum (S1),5973640,0,4,91,222,91,222
RODI HARTONO,https://sinta.kemdiktisaintek.go.id/authors/profile/258945,Teknik Elektro (S1),258945,3,8,89,320,89,320
TRUSTORINI HANDAYANI,https://sinta.kemdiktisaintek.go.id/authors/profile/258560,Manajemen (S1),258560,2,2,89,519,89,519
MIA RAHMAWATI YUWITA,https://sinta.kemdiktisaintek.go.id/authors/profile/6770620,Sastra Inggris (S1),6770620,0,1,84,127,84,127
SITI KURNIA RAHAYU,https://sinta.kemdiktisaintek.go.id/authors/profile/258591,Akuntansi (S1),258591,1,10,84,913,84,913
TINE AGUSTIN WULANDARI,https://sinta.kemdiktisaintek.go.id/authors/profile/6006837,Ilmu Komunikasi (S1),6006837,1,6,84,819,84,819
TATANG SUPRIYADI,https://sinta.kemdiktisaintek.go.id/authors/profile/6953188,Manajemen Pemasaran (D3),6953188,0,1,84,98,84,98
SYAHRUL,https://sinta.kemdiktisaintek.go.id/authors/profile/5987238,Sistem Komputer (S1),5987238,2,5,83,458,83,458
ANGGA FRIYANTO,https://sinta.kemdiktisaintek.go.id/authors/profile/6725600,Sistem Informasi (S1),6725600,2,3,82,371,82,371
CHRISMIKHA HARDYANTO,https://sinta.kemdiktisaintek.go.id/authors/profile/6719603,Teknik Informatika (S1),6719603,0,5,81,210,81,210
ASIH PRIHANDINI,https://sinta.kemdiktisaintek.go.id/authors/profile/6004064,Sastra Inggris (S1),6004064,0,7,81,256,81,256
MELLY MAULIN PURWANINGWULAN,https://sinta.kemdiktisaintek.go.id/authors/profile/6035744,Ilmu Komunikasi (S1),6035744,3,7,80,1.143,80,1.143
RAUF FAUZAN,https://sinta.kemdiktisaintek.go.id/authors/profile/258660,Sistem Informasi (S1),258660,2,8,79,597,79,597
DEDENG HIRAWAN,https://sinta.kemdiktisaintek.go.id/authors/profile/5991988,Teknik Informatika (S1),5991988,2,5,79,519,79,519
FENNY FEBRIANTY,https://sinta.kemdiktisaintek.go.id/authors/profile/5999315,Sastra Jepang (S1),5999315,1,5,79,449,79,449
RANI SUSANTO,https://sinta.kemdiktisaintek.go.id/authors/profile/258732,Teknik Informatika (S1),258732,3,7,78,988,78,988
ANGKY FEBRIANSYAH,https://sinta.kemdiktisaintek.go.id/authors/profile/258590,Manajemen (S1),258590,1,7,77,422,77,422
ANISA ARIANINGSIH,https://sinta.kemdiktisaintek.go.id/authors/profile/5999508,Sastra Jepang (S1),5999508,0,5,77,259,77,259
DESAYU EKA SURYA,https://sinta.kemdiktisaintek.go.id/authors/profile/259201,Ilmu Komunikasi (S1),259201,1,4,76,780,76,780
MUSA DARWIN PANE,https://sinta.kemdiktisaintek.go.id/authors/profile/259621,Ilmu Hukum (S1),259621,1,8,76,369,76,369
JUANDA,https://sinta.kemdiktisaintek.go.id/authors/profile/6004121,Sastra Inggris (S1),6004121,4,4,75,386,75,386
IRMA ROCHMAWATI,https://sinta.kemdiktisaintek.go.id/authors/profile/6035959,Desain Grafis (D3),6035959,0,5,73,495,73,495
DONNY REZA,https://sinta.kemdiktisaintek.go.id/authors/profile/6006784,Teknik Informatika (S1),6006784,1,1,72,73,72,73
APRIANI PUTI PURFINI,https://sinta.kemdiktisaintek.go.id/authors/profile/5999124,Komputerisasi Akuntansi (D3),5999124,1,3,70,573,70,573
YAYAH SUTISNAWATI,https://sinta.kemdiktisaintek.go.id/authors/profile/6800294,Manajemen (S1),6800294,1,6,69,242,69,242
JOHN ADLER,https://sinta.kemdiktisaintek.go.id/authors/profile/258346,Teknik Komputer (D3),258346,2,7,69,450,69,450
ARIF TRY CAHYADI,https://sinta.kemdiktisaintek.go.id/authors/profile/6200325,Desain Komunikasi Visual (S1),6200325,1,3,68,231,68,231
ANNA DARA ANDRIANA,https://sinta.kemdiktisaintek.go.id/authors/profile/258891,Teknik Informatika (S1),258891,1,7,68,566,68,566
FAKHRIAN FADLIA ADIWIJAYA,https://sinta.kemdiktisaintek.go.id/authors/profile/6721333,Teknik Informatika (S1),6721333,0,4,67,290,67,290
KANKAN KASMANA,https://sinta.kemdiktisaintek.go.id/authors/profile/6006605,Desain (S2),6006605,1,6,67,634,67,634
TATIK FIDOWATY,https://sinta.kemdiktisaintek.go.id/authors/profile/6098702,Ilmu Pemerintahan (S1),6098702,0,5,64,310,64,310
IVAN KURNIAWAN,https://sinta.kemdiktisaintek.go.id/authors/profile/258675,Desain Grafis (D3),258675,0,0,63,675,63,675
RIANI LUBIS,https://sinta.kemdiktisaintek.go.id/authors/profile/258776,Teknik Informatika (S1),258776,1,5,63,620,63,620
TRI WIDIANTI NATALIA,https://sinta.kemdiktisaintek.go.id/authors/profile/258619,Teknik Arsitektur (S1),258619,1,6,63,355,63,355
ERNA SUSILAWATI,https://sinta.kemdiktisaintek.go.id/authors/profile/6005084,Manajemen (S1),6005084,2,4,63,421,63,421
SATRIA INDRA PRAJA PERSADA,https://sinta.kemdiktisaintek.go.id/authors/profile/258700,Desain Interior (S1),258700,0,3,62,305,62,305
MARI MARYATI,https://sinta.kemdiktisaintek.go.id/authors/profile/6776496,Manajemen (S1),6776496,1,3,61,145,61,145
RIZKI ZULFIKAR,https://sinta.kemdiktisaintek.go.id/authors/profile/258566,Manajemen (S1),258566,0,3,60,783,60,783
GERALDI CATUR PAMUJI,https://sinta.kemdiktisaintek.go.id/authors/profile/6656635,Sistem Informasi (S2),6656635,3,4,60,191,60,191
IRWAN TARMAWAN,https://sinta.kemdiktisaintek.go.id/authors/profile/258701,Desain Komunikasi Visual (S1),258701,1,4,57,571,57,571
YASUNDARI,https://sinta.kemdiktisaintek.go.id/authors/profile/6803414,Ilmu Komunikasi (S1),6803414,0,4,57,64,57,64
DENI ALBAR,https://sinta.kemdiktisaintek.go.id/authors/profile/258730,Desain Komunikasi Visual (S1),258730,0,4,56,698,56,698
IRFAN DWIGUNA SUMITRA,https://sinta.kemdiktisaintek.go.id/authors/profile/5999480,Sistem Informasi (S2),5999480,4,7,55,1.274,55,1.274
SALMON PRIAJI MARTANA,https://sinta.kemdiktisaintek.go.id/authors/profile/6008206,Teknik Arsitektur (S1),6008206,1,4,54,472,54,472
INTA BUDI SETYA NUSA,https://sinta.kemdiktisaintek.go.id/authors/profile/258632,Akuntansi (S1),258632,1,4,54,490,54,490
WARTIKA,https://sinta.kemdiktisaintek.go.id/authors/profile/6132614,Sistem Informasi (S1),6132614,2,5,54,336,54,336
RIZKY JUMANSYAH,https://sinta.kemdiktisaintek.go.id/authors/profile/6803107,Unknown,6803107,1,1,52,87,52,87
ROMEIZA SYAFRIHARTI,https://sinta.kemdiktisaintek.go.id/authors/profile/5998989,Teknik Perencanaan Wilayah Dan Kota (S1),5998989,3,0,52,381,52,381
WANTORO,https://sinta.kemdiktisaintek.go.id/authors/profile/258677,Desain Grafis (D3),258677,0,5,51,640,51,640
HENIKE PRIMAWANTI,https://sinta.kemdiktisaintek.go.id/authors/profile/6703644,Ilmu Hubungan Internasional (S1),6703644,0,5,51,131,51,131
ADITYO BASKORO HARDOYO,https://sinta.kemdiktisaintek.go.id/authors/profile/6728702,Desain Grafis (D3),6728702,1,3,49,147,49,147
PITRI HARYANTI,https://sinta.kemdiktisaintek.go.id/authors/profile/258669,Sastra Jepang (S1),258669,0,5,49,230,49,230
INGGAR PRAYOGA,https://sinta.kemdiktisaintek.go.id/authors/profile/6005603,Ilmu Komunikasi (S1),6005603,2,4,49,677,49,677
RYANTY DERWENTYANA NAZHAR,https://sinta.kemdiktisaintek.go.id/authors/profile/258788,Desain Interior (S1),258788,1,5,48,371,48,371
DINA FATIMAH,https://sinta.kemdiktisaintek.go.id/authors/profile/258607,Desain Interior (S1),258607,2,3,48,506,48,506
SELVIA LORENA BR GINTING,https://sinta.kemdiktisaintek.go.id/authors/profile/258870,Sistem Komputer (S1),258870,2,9,47,533,47,533
SUSMINI INDRIANI L,https://sinta.kemdiktisaintek.go.id/authors/profile/258895,Teknik Komputer (D3),258895,2,9,47,442,47,442
NOVA CHANDRA ADITYA,https://sinta.kemdiktisaintek.go.id/authors/profile/6762594,Teknik Arsitektur (S1),6762594,0,2,46,183,46,183
BAMBANG SISWOYO,https://sinta.kemdiktisaintek.go.id/authors/profile/6926655,Teknik Informatika (S1),6926655,2,6,45,153,45,153
TONO HARTONO,https://sinta.kemdiktisaintek.go.id/authors/profile/258726,Sistem Informasi (S1),258726,2,6,45,405,45,405
GALIH HERMAWAN,https://sinta.kemdiktisaintek.go.id/authors/profile/258217,Teknik Informatika (S1),258217,3,7,44,258,44,258
TAUFIQ NUZWIR NIZAR,https://sinta.kemdiktisaintek.go.id/authors/profile/258948,Sistem Komputer (S1),258948,2,5,44,283,44,283
TAUFAN HIDAYATULLAH,https://sinta.kemdiktisaintek.go.id/authors/profile/258820,Desain (S2),258820,1,3,44,457,44,457
DIANA ANDRIANI,https://sinta.kemdiktisaintek.go.id/authors/profile/6003825,Teknik Industri (S1),6003825,5,5,43,582,43,582
VITTA PRATIWI,https://sinta.kemdiktisaintek.go.id/authors/profile/6005450,Teknik Sipil (S1),6005450,1,2,43,249,43,249
CHERRY DHARMAWAN,https://sinta.kemdiktisaintek.go.id/authors/profile/5981885,Desain Interior (S1),5981885,1,4,42,825,42,825
ANDRI HERYANDI,https://sinta.kemdiktisaintek.go.id/authors/profile/258867,Teknik Informatika (S1),258867,2,10,42,623,42,623
CITRA NOVIYASARI,https://sinta.kemdiktisaintek.go.id/authors/profile/5983808,Sistem Informasi (S1),5983808,0,3,41,177,41,177
SYLVIA OCTA PUTRI,https://sinta.kemdiktisaintek.go.id/authors/profile/258812,Ilmu Hubungan Internasional (S1),258812,1,3,39,355,39,355
GENTISYA TRI MARDIANI,https://sinta.kemdiktisaintek.go.id/authors/profile/258860,Teknik Informatika (S1),258860,1,4,38,467,38,467
UTAMI DEWI WIDIANTI,https://sinta.kemdiktisaintek.go.id/authors/profile/258735,Teknik Informatika (S1),258735,2,7,38,551,38,551
WANITA SUBADRA ABIOSO,https://sinta.kemdiktisaintek.go.id/authors/profile/258659,Unknown,258659,2,6,36,396,36,396
ANDI HARAPAN,https://sinta.kemdiktisaintek.go.id/authors/profile/6004967,Teknik Arsitektur (S1),6004967,1,5,36,297,36,297
DIDIT ANDRI JATMIKO,https://sinta.kemdiktisaintek.go.id/authors/profile/6681765,Teknik Informatika (S1),6681765,2,3,36,464,36,464
HADI PURNOMO,https://sinta.kemdiktisaintek.go.id/authors/profile/6803421,Manajemen (S1),6803421,2,3,36,106,36,106
MUHAMMAD SYAHRIL ISKANDAR,https://sinta.kemdiktisaintek.go.id/authors/profile/6037936,Desain Komunikasi Visual (S1),6037936,2,3,35,463,35,463
ISKANDAR IKBAL,https://sinta.kemdiktisaintek.go.id/authors/profile/259132,Teknik Informatika (S1),259132,1,5,34,521,34,521
YUSRILA YEKA KERLOOZA,https://sinta.kemdiktisaintek.go.id/authors/profile/5987175,Sistem Informasi (S2),5987175,1,4,34,515,34,515
ADIYANA SLAMET,https://sinta.kemdiktisaintek.go.id/authors/profile/6006229,Ilmu Komunikasi (S1),6006229,0,4,33,664,33,664
AHMAD NURZAENI FAUZI,https://sinta.kemdiktisaintek.go.id/authors/profile/6788605,Desain Grafis (D3),6788605,0,1,33,63,33,63
RISMAWATY,https://sinta.kemdiktisaintek.go.id/authors/profile/259267,Ilmu Komunikasi (S1),259267,0,1,33,715,33,715
